name,region
각화초등학교,광주광역시
신백초등학교,충청북도
인천축현초등학교,인천광역시
대구달산초등학교,대구광역시
서울신우초등학교,서울특별시
한동초등학교,제주특별자치도
아산세교초등학교,충청남도
인천경서초등학교,인천광역시
한마음초등학교,경기도
군산신풍초등학교,전북특별자치도
범서초등학교,울산광역시
삼봉초등학교난지분교장,충청남도
살레시오초등학교,광주광역시
서울신묵초등학교,서울특별시
전주완산서초등학교,전북특별자치도
북대구초등학교,대구광역시
옥천초등학교,경기도
조성남초등학교,전라남도
녹동초등학교,전라남도
제주중앙초등학교,제주특별자치도
화창초등학교,경기도
인천소양초등학교,인천광역시
서울영희초등학교,서울특별시
삼호중앙초등학교,전라남도
소안초등학교,전라남도
목포미항초등학교,전라남도
명곡초등학교,경상남도
서울봉래초등학교,서울특별시
송수초등학교,부산광역시
화령초등학교,경상북도
청도초등학교,경상북도
동부초등학교,울산광역시
대덕초등학교,전라남도
인천석남서초등학교,인천광역시
전주지곡초등학교,전북특별자치도
담주초등학교,전라남도
송암초등학교,충청남도
충화초등학교,충청남도
중동초등학교,경상남도
임피초등학교,전북특별자치도
신양초등학교,충청남도
별내초등학교,경기도
용산초등학교,부산광역시
흥무초등학교,경상북도
갈담초등학교,경기도
대구칠성초등학교,대구광역시
영통초등학교,경기도
가평초등학교,부산광역시
승지초등학교,경기도
동해초등학교,강원특별자치도
갈뫼초등학교,경기도
남명초등학교,부산광역시
안룡초등학교,경기도
삼기초등학교,전라남도
송화초등학교,경기도
염산초등학교,전라남도
동부초등학교,경상남도
동이초등학교,충청북도
도동초등학교,경상남도
시화나래초등학교,경기도
일직초등학교,경상북도
증산초등학교,경상북도
소답초등학교,경상남도
한재초등학교,전라남도
용인백현초등학교,경기도
가사초등학교,경기도
대구용계초등학교,대구광역시
구즉초등학교,대전광역시
광도초등학교,경상남도
마산초등학교,경기도
오현초등학교,경기도
청아초등학교,경기도
이리부천초등학교,전북특별자치도
대구만촌초등학교,대구광역시
강경황산초등학교,충청남도
한울초등학교,경기도
순천부영초등학교,전라남도
영흥초등학교,인천광역시
서림초등학교,충청남도
연곡초등학교,강원특별자치도
서울홍제초등학교,서울특별시
칠량초등학교,전라남도
대구용지초등학교,대구광역시
오치초등학교,광주광역시
희망대초등학교,경기도
서당초등학교,경기도
모덕초등학교,부산광역시
서울백산초등학교,서울특별시
도량초등학교,경상북도
대산초등학교,경상남도
두암초등학교,광주광역시
미원초등학교금관분교장,충청북도
군산동초등학교,전북특별자치도
천곡초등학교,울산광역시
봉덕초등학교,전라남도
세정초등학교,경기도
이산초등학교,경상북도
상현초등학교,경기도
대구가창초등학교,대구광역시
하남풍산초등학교,경기도
언암초등학교,충청남도
인천하정초등학교,인천광역시
내손초등학교,경기도
흑산초등학교,전라남도
옥산초등학교,경상북도
행정초등학교,경기도
군산풍문초등학교,전북특별자치도
사벌초등학교,경상북도
서울경인초등학교,서울특별시
성호초등학교,경상남도
백봉초등학교,충청북도
대구황금초등학교,대구광역시
광양백운초등학교,전라남도
성주초등학교,경상북도
괘법초등학교,부산광역시
인천안남초등학교,인천광역시
서울금옥초등학교,서울특별시
온평초등학교,제주특별자치도
구암초등학교,경상남도
천천초등학교,경기도
온남초등학교,울산광역시
용인신봉초등학교,경기도
인천십정초등학교,인천광역시
풍북초등학교,경상북도
서울관악초등학교,서울특별시
장산초등학교,전라남도
인천숭의초등학교,인천광역시
성남동초등학교,경기도
이화초등학교,울산광역시
광주농성초등학교,광주광역시
운산초등학교,강원특별자치도
늘푸른초등학교,경기도
백동초등학교,경상남도
서울청계초등학교,서울특별시
초성초등학교,경기도
유등초등학교,전북특별자치도
미르초등학교,세종특별자치시
마암초등학교,전북특별자치도
백화초등학교,충청남도
노화중앙초등학교,전라남도
대구사월초등학교,대구광역시
인천옥련초등학교,인천광역시
도봉초등학교,경상북도
평내초등학교,경기도
삼성초등학교,충청북도
생영초등학교,전라남도
충주삼원초등학교,충청북도
청원초등학교,경기도
서울신흥초등학교,서울특별시
구엄초등학교,제주특별자치도
교동초등학교,강원특별자치도
협신초등학교,강원특별자치도
수남초등학교,경상남도
서울양명초등학교,서울특별시
이평초등학교,전북특별자치도
시흥초등학교,경기도
백의초등학교,경기도
용정초등학교,강원특별자치도
김천동부초등학교,경상북도
시랑초등학교,경기도
인천석정초등학교,인천광역시
장기초등학교,경기도
서울당산초등학교,서울특별시
산척초등학교,충청북도
오산초등학교,전라남도
구미왕산초등학교,경상북도
서울대모초등학교,서울특별시
서울오류초등학교,서울특별시
구정초등학교,경상북도
도포초등학교,전라남도
충주교현초등학교,충청북도
한얼초등학교,경기도
국원초등학교,충청북도
미원초등학교,경기도
옥천초등학교,전라남도
동진초등학교,경상남도
운수초등학교,경상북도
순창중앙초등학교,전북특별자치도
웅남초등학교,경상남도
서울청담초등학교,서울특별시
고서초등학교,전라남도
대연초등학교,부산광역시
인천가석초등학교,인천광역시
진위초등학교,경기도
약사초등학교,울산광역시
장흥초등학교,전라남도
효돈초등학교,제주특별자치도
금일초등학교,전라남도
관촌초등학교,전북특별자치도
탑동초등학교,경기도
보평초등학교,경기도
정라초등학교,강원특별자치도
서울면북초등학교,서울특별시
월등초등학교,전라남도
쌍류초등학교,세종특별자치시
봉황초등학교,경상북도
군포초등학교,경기도
방산초등학교,경상남도
수성초등학교,경기도
중리초등학교,경상남도
서울방화초등학교,서울특별시
우강초등학교,충청남도
전주전일초등학교,전북특별자치도
배산초등학교,부산광역시
포곡초등학교,경기도
동백초등학교,전라남도
대구반야월초등학교,대구광역시
서울연지초등학교,서울특별시
정선초등학교가수분교장,강원특별자치도
한솔초등학교,전북특별자치도
동산초등학교,경상남도
미포초등학교,울산광역시
마산초등학교,충청남도
자란초등학교,경기도
안면초등학교,충청남도
오전초등학교,경기도
산곡초등학교,경기도
인의초등학교,경상북도
동래초등학교,부산광역시
토산초등학교,제주특별자치도
상북초등학교,경상남도
서일초등학교,광주광역시
지례초등학교,경상북도
옥계초등학교,강원특별자치도
대전은어송초등학교,대전광역시
이리석암초등학교,전북특별자치도
아포초등학교,경상북도
문현초등학교,울산광역시
율어초등학교,전라남도
원덕초등학교,경기도
개진초등학교,경상북도
진흥초등학교,충청북도
반송초등학교,경기도
두원초등학교,전라남도
압해초등학교,전라남도
용인한일초등학교,경기도
곡반초등학교,경기도
안동영호초등학교,경상북도
인천검암초등학교,인천광역시
영화초등학교,경기도
덕두초등학교,부산광역시
대하초등학교,경기도
율전초등학교,강원특별자치도
입암초등학교,전북특별자치도
옥서초등학교,울산광역시
남선초등학교,경상북도
대산초등학교,전북특별자치도
안의초등학교,경상남도
동백초등학교,부산광역시
오봉초등학교,전북특별자치도
목포서산초등학교,전라남도
풍산초등학교,경상북도
승주초등학교,전라남도
대성초등학교,경상남도
명인초등학교,경기도
양벌초등학교,경기도
금정초등학교,전라남도
신도초등학교,부산광역시
도척초등학교,경기도
오산대원초등학교,경기도
금성초등학교,충청북도
광주극락초등학교,광주광역시
부산초등학교,전라남도
안화초등학교,경기도
위성초등학교,경상남도
학현초등학교,경기도
월롱초등학교,경기도
대구남동초등학교,대구광역시
가사문학초등학교,전라남도
서울미아초등학교,서울특별시
덕포초등학교,부산광역시
청양초등학교,강원특별자치도
온천초등학교,경상남도
서울문덕초등학교,서울특별시
서울일신초등학교,서울특별시
장덕초등학교,광주광역시
장산초등학교,부산광역시
군자초등학교,경기도
안양서초등학교,경기도
약동초등학교,경상북도
덕양초등학교,부산광역시
운산초등학교,충청남도
현북초등학교,강원특별자치도
서산석림초등학교,충청남도
월평초등학교,전라남도
연천왕산초등학교,경기도
장량초등학교,경상북도
인천만수북초등학교,인천광역시
